created_at,"field1(Temperature ºC )",field2(Humidity),field3(Voltage),"field4(WIFI RSSI)",field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc
2025-06-04T18:38:41-04:00,22.8237,56.0281,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:38:43-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:39:42-04:00,22.8077,56.025,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:39:44-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:40:41-04:00,22.8531,56.0189,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:40:43-04:00,,,,-54,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:41:42-04:00,22.8237,56.0388,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:41:44-04:00,,,,-51,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:42:43-04:00,22.8237,56.0601,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:42:45-04:00,,,,-52,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:43:42-04:00,22.8237,56.1059,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:43:44-04:00,,,,-50,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:44:43-04:00,22.8237,56.1288,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:44:45-04:00,,,,-72,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:45:44-04:00,22.8531,56.3806,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:45:46-04:00,,,,-52,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:46:44-04:00,22.8664,56.1013,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:46:45-04:00,,,,-53,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:47:44-04:00,22.8664,56.1807,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:47:46-04:00,,,,-53,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:48:45-04:00,22.8664,56.2127,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:48:47-04:00,,,,-58,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:49:44-04:00,22.8798,56.2158,4.0256,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:49:48-04:00,,,,-58,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:50:45-04:00,22.8664,56.1349,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:50:47-04:00,,,,-58,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:51:46-04:00,22.8664,56.1563,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:51:48-04:00,,,,-56,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:52:46-04:00,22.8798,56.2036,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:52:47-04:00,,,,-55,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:53:46-04:00,22.8798,56.0922,4.0219,,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
2025-06-04T18:53:48-04:00,,,,-54,,,,,,,,,,,,,,,,,,HF8PM1TGS1A,,,
