created_at,"field1(Temperature ºC )",field2(Humidity),field3(Light),field4(Voltage),"field5(WIFI RSSI)",field6(),field7(),"field8(External Temperature Probe ºC )",field9(),field10(),field11,field12,field13,field14,field15,status,lat,long,elev,wifi,cell,serial,log,wifi_loc,cell_loc,vfield1
2025-05-28T09:09:44-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:09:37-04:00,,55.2789,0.45,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:09:36-04:00,20.7836,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:04:44-04:00,,,,,-32,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T09:04:36-04:00,20.8263,55.2865,0.45,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.41
2025-05-28T08:59:43-04:00,,,,,-30,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T08:59:35-04:00,20.8129,55.2636,0.45,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.39
2025-05-28T08:54:43-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T08:54:36-04:00,,55.2682,0.45,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T08:54:35-04:00,20.8396,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T08:49:42-04:00,,,,,-32,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T08:49:36-04:00,,,0.45,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T08:49:35-04:00,20.853,55.259,,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.44
2025-05-28T08:44:43-04:00,,,,,-35,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T08:44:35-04:00,20.869,55.1873,0.45,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.45
2025-05-28T08:39:38-04:00,,,,,-34,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T08:39:35-04:00,,,0.3,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T08:39:34-04:00,20.8957,55.2239,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.48
2025-05-28T08:34:39-04:00,,,,,-33,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T08:34:35-04:00,,55.2285,0.3,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T08:34:34-04:00,20.869,,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T08:29:38-04:00,,,,,-32,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T08:29:34-04:00,20.9091,55.2361,0.45,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.5
2025-05-28T08:24:37-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T08:24:33-04:00,20.9251,55.2056,0.45,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.52
2025-05-28T08:19:37-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T08:19:33-04:00,,,0.3,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T08:19:32-04:00,20.9384,55.1553,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.53
2025-05-28T08:14:36-04:00,,,,,-31,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T08:14:33-04:00,,,0.45,2.849,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,
2025-05-28T08:14:32-04:00,20.9812,55.14,,,,,,,,,,,,,,,,,,,,KYAF43XWS1A,,,,20.57
