timestamp,raspi_Temperature (°C),raspi_Humidity (%),raspi_Pressure (hPa),raspi_Gas Resistance (Ω),raspi_Violet (450nm),raspi_Blue (500nm),raspi_Green (550nm),raspi_Yellow (570nm),raspi_Orange (600nm),raspi_Red (650nm),raspi_Ambient Light (lux)
2025-06-02 00:00:00+00:00,28.24,21.62,1013.23,102400000,4.69,7.7,12.5,14.33,17.96,11.71,411.26
2025-06-02 00:00:00+00:00,28.22,21.6,1013.24,102400000,4.69,7.7,12.5,14.33,17.96,11.71,410.73
2025-06-02 00:00:00+00:00,28.21,21.56,1013.23,102400000,4.69,6.42,12.5,14.33,17.96,11.71,410.73
2025-06-02 00:00:00+00:00,28.19,21.68,1013.23,102400000,4.69,6.42,12.5,13.37,16.97,11.71,401.05
2025-06-02 00:00:00+00:00,28.15,21.87,1013.23,102400000,4.69,7.7,12.5,14.33,17.96,11.71,415.56
2025-06-02 00:00:00+00:00,28.07,22.02,1013.23,102400000,4.69,6.42,12.5,14.33,17.96,11.71,415.56
2025-06-02 00:00:00+00:00,28.02,22.18,1013.22,102400000,4.69,7.7,12.5,14.33,17.96,11.71,415.56
2025-06-02 00:00:00+00:00,28.01,22.02,1013.09,102400000,4.69,7.7,12.5,14.33,17.96,11.71,415.56
2025-06-02 00:00:00+00:00,28.02,21.91,1013.2,102400000,4.69,6.42,12.5,14.33,16.97,11.71,415.56
2025-06-02 00:00:00+00:00,28.03,21.87,1013.19,102400000,4.69,7.7,12.5,14.33,17.96,11.71,415.56
2025-06-02 00:00:00+00:00,28.02,21.87,1013.19,102400000,4.69,6.42,12.5,14.33,17.96,11.71,415.56
2025-06-02 00:00:00+00:00,28.01,22.01,1013.07,102400000,4.69,6.42,12.5,14.33,17.96,11.71,415.56
2025-06-02 00:00:00+00:00,28.0,22.05,1013.08,102400000,4.69,6.42,12.5,14.33,17.96,11.71,415.56
2025-06-02 00:00:00+00:00,27.99,22.03,1013.09,102400000,4.69,7.7,12.5,14.33,16.97,11.71,414.49
2025-06-02 00:00:00+00:00,28.0,22.01,1013.08,102400000,4.69,6.42,12.5,14.33,17.96,11.71,414.49
2025-06-02 00:00:00+00:00,27.99,22.05,1013.08,102400000,4.69,6.42,12.5,14.33,16.97,11.71,413.95
2025-06-02 00:00:00+00:00,27.99,22.04,1013.06,102400000,4.69,6.42,12.5,14.33,16.97,11.71,413.41
2025-06-02 00:00:00+00:00,27.99,22.12,1013.02,102400000,4.69,6.42,12.5,14.33,16.97,11.71,414.49
2025-06-02 00:00:00+00:00,27.98,22.2,1013.0,102400000,4.69,6.42,12.5,14.33,16.97,11.71,413.41
2025-06-02 00:00:00+00:00,27.97,22.2,1012.97,102400000,4.69,6.42,12.5,14.33,16.97,11.71,414.49
2025-06-02 00:00:00+00:00,27.97,22.22,1012.91,102400000,4.69,7.7,12.5,14.33,17.96,11.71,415.03
2025-06-02 00:00:00+00:00,27.96,22.25,1012.92,102400000,4.69,7.7,12.5,14.33,17.96,11.71,415.03
2025-06-02 00:00:00+00:00,27.96,22.19,1012.88,102400000,4.69,7.7,12.5,14.33,17.96,11.71,415.56
2025-06-02 00:00:00+00:00,27.95,22.25,1012.88,102400000,4.69,7.7,12.5,14.33,17.96,11.71,416.64
2025-06-02 00:00:00+00:00,27.94,22.3,1012.87,102400000,4.69,7.7,12.5,14.33,17.96,11.71,417.18
2025-06-02 00:00:00+00:00,27.95,22.31,1012.83,102400000,4.69,7.7,12.5,14.33,17.96,11.71,417.72
2025-06-02 00:00:00+00:00,27.95,22.27,1012.83,102400000,4.69,7.7,12.5,14.33,17.96,11.71,417.72
2025-06-02 00:00:00+00:00,27.95,22.3,1012.8,102400000,4.69,6.42,12.5,14.33,16.97,11.71,417.18
2025-06-02 00:00:00+00:00,27.93,22.35,1012.78,102400000,4.69,6.42,12.5,14.33,17.96,11.71,415.56
2025-06-02 00:00:00+00:00,27.9,22.56,1012.77,102400000,4.69,7.7,12.5,14.33,16.97,11.71,416.1
2025-06-02 00:00:00+00:00,27.87,22.66,1012.75,102400000,4.69,7.7,12.5,14.33,16.97,11.71,410.73
2025-06-02 00:00:00+00:00,27.86,22.68,1012.76,102400000,4.69,6.42,12.5,14.33,17.96,11.71,409.11
2025-06-02 00:00:00+00:00,27.84,22.7,1012.75,102400000,4.69,6.42,11.37,12.42,15.97,9.91,408.58
2025-06-02 00:00:00+00:00,27.82,22.73,1012.76,102400000,4.69,6.42,11.37,12.42,14.97,9.91,408.58
2025-06-02 00:00:00+00:00,27.88,22.53,1012.76,102400000,4.69,6.42,11.37,12.42,15.97,9.91,408.04
2025-06-02 00:00:00+00:00,27.95,22.2,1012.75,102400000,4.69,6.42,11.37,12.42,15.97,9.91,407.5
2025-06-02 00:00:00+00:00,27.99,22.19,1012.7,102400000,4.69,6.42,11.37,12.42,15.97,9.91,407.5
2025-06-02 00:00:00+00:00,28.01,22.18,1012.74,102400000,4.69,6.42,11.37,12.42,15.97,10.81,413.41
2025-06-02 00:00:00+00:00,28.01,22.21,1012.74,102400000,4.69,6.42,11.37,13.37,15.97,10.81,417.18
2025-06-02 00:00:00+00:00,27.95,22.84,1012.74,102400000,4.69,6.42,12.5,13.37,15.97,10.81,381.16
2025-06-02 00:00:00+00:00,28.18,22.1,1012.73,102400000,4.69,6.42,12.5,13.37,15.97,10.81,384.38
2025-06-02 00:00:00+00:00,28.5,21.43,1012.77,102400000,4.69,7.7,12.5,13.37,16.97,10.81,397.82
2025-06-02 00:00:00+00:00,28.82,20.79,1012.79,102400000,4.69,7.7,12.5,14.33,16.97,11.71,388.15
2025-06-02 00:00:00+00:00,29.12,20.4,1012.77,102400000,4.69,6.42,12.5,13.37,15.97,10.81,342.45
2025-06-02 00:00:00+00:00,29.38,20.24,1012.78,102400000,4.69,7.7,12.5,13.37,16.97,10.81,383.31
2025-06-02 00:00:00+00:00,29.61,20.2,1012.78,102400000,4.69,7.7,12.5,13.37,16.97,10.81,355.89
2025-06-02 00:00:00+00:00,30.17,20.14,1012.71,102400000,15.25,16.68,29.55,28.66,33.93,18.01,384.38
2025-06-02 00:00:00+00:00,30.5,19.15,1012.67,102400000,15.25,16.68,29.55,28.66,33.93,18.01,383.31
2025-06-02 00:00:00+00:00,31.11,17.6,1012.64,102400000,15.25,16.68,28.42,27.7,33.93,18.01,378.47
2025-06-02 00:00:00+00:00,31.63,17.22,1012.6,102400000,15.25,15.4,28.42,27.7,33.93,18.01,374.17
2025-06-02 00:00:00+00:00,32.09,17.05,1012.61,102400000,15.25,15.4,28.42,27.7,33.93,18.01,376.86
2025-06-02 00:00:00+00:00,32.55,16.62,1012.58,102400000,15.25,15.4,28.42,27.7,33.93,18.01,377.4
2025-06-02 00:00:00+00:00,32.97,16.27,1012.6,102400000,15.25,16.68,28.42,27.7,33.93,18.01,377.93
2025-06-02 00:00:00+00:00,33.35,16.09,1012.58,102400000,15.25,15.4,27.28,27.7,32.94,17.11,370.94
2025-06-02 00:00:00+00:00,33.68,15.86,1012.61,102400000,15.25,15.4,28.42,27.7,33.93,17.11,374.17
2025-06-02 00:00:00+00:00,34.0,15.65,1012.61,102400000,15.25,15.4,28.42,27.7,33.93,17.11,373.63
2025-06-02 00:00:00+00:00,34.27,15.52,1012.58,102400000,15.25,15.4,28.42,27.7,32.94,17.11,373.63
2025-06-02 00:00:00+00:00,34.53,15.32,1012.57,102400000,15.25,15.4,28.42,27.7,32.94,17.11,372.02
2025-06-02 00:00:00+00:00,34.69,15.27,1012.59,102400000,15.25,15.4,28.42,27.7,32.94,17.11,368.79
2025-06-02 00:00:00+00:00,34.81,15.37,1012.57,102400000,15.25,15.4,27.28,26.75,32.94,17.11,369.33
2025-06-02 00:00:00+00:00,34.95,15.43,1012.56,102400000,15.25,15.4,28.42,27.7,32.94,17.11,374.71
2025-06-02 00:00:00+00:00,35.11,15.26,1012.58,102400000,15.25,16.68,28.42,27.7,33.93,18.01,381.16
2025-06-02 00:00:00+00:00,35.3,14.91,1012.59,102400000,14.08,15.4,27.28,26.75,31.94,17.11,365.03
2025-06-02 00:00:00+00:00,35.49,14.5,1012.56,102400000,15.25,15.4,27.28,27.7,32.94,17.11,396.21
2025-06-02 00:00:00+00:00,35.77,14.24,1012.59,102400000,15.25,15.4,28.42,27.7,34.93,18.01,382.77
2025-06-02 00:00:00+00:00,35.95,14.16,1012.57,102400000,15.25,15.4,28.42,27.7,33.93,18.01,382.77
2025-06-02 00:00:00+00:00,36.03,14.27,1012.58,102400000,15.25,15.4,28.42,28.66,34.93,18.01,387.07
